Transaction_ID,Date,Time,Product_ID,Product_Name,Quantity,Unit_Price,Total_Amount
202300000,2023-01-01,11:17,P008,Maxim Coffee Mix,4,169.43,677.72
202300001,2023-01-01,14:38,P007,CJ Cooked White Rice,5,328.5,1642.5
202300002,2023-01-01,21:49,P006,Lotte Pepero Almond,4,273.43,1093.72
202300003,2023-01-01,18:23,P002,Bibigo Gyoza Dumplings,1,145.13,145.13
202300004,2023-01-01,11:49,P007,CJ Cooked White Rice,5,59.23,296.15
202300005,2023-01-01,17:57,P001,Samyang Hot Chicken Ramen,1,321.51,321.51
202300006,2023-01-01,20:19,P004,Ottogi Jin Ramen,3,319.61,958.83
202300007,2023-01-01,11:43,P009,Gochujang Paste,1,152.76,152.76
202300008,2023-01-01,17:22,P004,Ottogi Jin Ramen,4,183.36,733.44
202300009,2023-01-01,8:33,P008,Maxim Coffee Mix,4,192.26,769.04
202300010,2023-01-01,14:04,P002,Bibigo Gyoza Dumplings,2,327.32,654.64
202300011,2023-01-01,8:18,P006,Lotte Pepero Almond,3,384.13,1152.39
202300012,2023-01-01,19:01,P007,CJ Cooked White Rice,3,283.0,849.0
202300013,2023-01-01,14:36,P001,Samyang Hot Chicken Ramen,2,177.29,354.58
202300014,2023-01-01,12:45,P005,Binggrae Banana Milk,5,387.45,1937.25
202300015,2023-01-01,9:29,P008,Maxim Coffee Mix,4,82.55,330.2
202300016,2023-01-01,13:24,P010,Korean Kimchi 500g,3,181.94,545.82
202300017,2023-01-01,19:53,P001,Samyang Hot Chicken Ramen,1,73.23,73.23
202300018,2023-01-01,12:46,P010,Korean Kimchi 500g,1,102.02,102.02
202300019,2023-01-01,17:22,P002,Bibigo Gyoza Dumplings,4,147.64,590.56
202300020,2023-01-01,13:41,P008,Maxim Coffee Mix,4,264.6,1058.4
202300021,2023-01-01,10:14,P010,Korean Kimchi 500g,4,214.14,856.56
202300022,2023-01-01,19:05,P003,Chum Churum Soju,4,189.49,757.96
202300023,2023-01-01,21:19,P006,Lotte Pepero Almond,3,177.41,532.23
202300024,2023-01-01,10:33,P008,Maxim Coffee Mix,4,165.55,662.2
202300025,2023-01-01,11:34,P004,Ottogi Jin Ramen,5,393.28,1966.4
202300026,2023-01-01,11:31,P007,CJ Cooked White Rice,3,310.98,932.94
202300027,2023-01-01,13:34,P007,CJ Cooked White Rice,1,233.19,233.19
202300028,2023-01-01,18:37,P009,Gochujang Paste,4,211.94,847.76
202300029,2023-01-01,14:35,P006,Lotte Pepero Almond,3,225.58,676.74
202300030,2023-01-01,12:25,P006,Lotte Pepero Almond,4,393.69,1574.76
202300031,2023-01-01,17:34,P009,Gochujang Paste,1,243.91,243.91
202300032,2023-01-01,18:24,P010,Korean Kimchi 500g,5,217.35,1086.75
202300033,2023-01-01,21:50,P008,Maxim Coffee Mix,1,58.93,58.93
202300034,2023-01-01,16:56,P008,Maxim Coffee Mix,5,163.52,817.6
202300035,2023-01-01,16:47,P008,Maxim Coffee Mix,5,237.44,1187.2
202300036,2023-01-01,8:33,P002,Bibigo Gyoza Dumplings,5,107.4,537.0
202300037,2023-01-01,19:29,P002,Bibigo Gyoza Dumplings,1,147.95,147.95
202300038,2023-01-01,10:24,P007,CJ Cooked White Rice,3,252.05,756.15
202300039,2023-01-01,16:19,P001,Samyang Hot Chicken Ramen,4,310.23,1240.92
202300040,2023-01-01,9:06,P009,Gochujang Paste,4,279.11,1116.44
202300041,2023-01-01,19:54,P003,Chum Churum Soju,3,260.62,781.86
202300042,2023-01-01,16:45,P008,Maxim Coffee Mix,2,125.32,250.64
202300043,2023-01-01,18:10,P007,CJ Cooked White Rice,3,88.67,266.01
202300044,2023-01-01,12:30,P002,Bibigo Gyoza Dumplings,4,215.01,860.04
202300045,2023-01-02,19:51,P002,Bibigo Gyoza Dumplings,1,304.71,304.71
202300046,2023-01-02,18:25,P004,Ottogi Jin Ramen,5,223.45,1117.25
202300047,2023-01-02,9:31,P003,Chum Churum Soju,2,345.57,691.14
202300048,2023-01-02,9:10,P001,Samyang Hot Chicken Ramen,2,210.07,420.14
202300049,2023-01-02,15:31,P002,Bibigo Gyoza Dumplings,5,380.4,1902.0
202300050,2023-01-02,21:14,P010,Korean Kimchi 500g,4,300.38,1201.52
202300051,2023-01-02,8:05,P006,Lotte Pepero Almond,1,371.58,371.58
