Transaction_ID,Date,Time,Product_ID,Product_Name,Quantity,Unit_Price,Total_Amount
202200000,2022-01-01,19:20,P002,Bibigo Gyoza Dumplings,5,52.05,260.25
202200001,2022-01-01,11:19,P009,Gochujang Paste,2,365.71,731.42
202200002,2022-01-01,15:37,P003,Chum Churum Soju,5,272.92,1364.6
202200003,2022-01-01,19:55,P004,Ottogi Jin Ramen,5,375.72,1878.6
202200004,2022-01-01,11:31,P002,Bibigo Gyoza Dumplings,5,363.82,1819.1
202200005,2022-01-01,20:31,P001,Samyang Hot Chicken Ramen,2,358.22,716.44
202200006,2022-01-01,20:18,P003,Chum Churum Soju,5,295.66,1478.3
202200007,2022-01-01,11:12,P009,Gochujang Paste,1,261.84,261.84
202200008,2022-01-01,14:24,P008,Maxim Coffee Mix,3,135.17,405.51
202200009,2022-01-01,18:23,P001,Samyang Hot Chicken Ramen,3,161.4,484.2
202200010,2022-01-01,16:14,P008,Maxim Coffee Mix,2,89.3,178.6
202200011,2022-01-01,10:32,P005,Binggrae Banana Milk,5,223.59,1117.95
202200012,2022-01-01,9:37,P004,Ottogi Jin Ramen,3,175.63,526.89
202200013,2022-01-01,13:08,P003,Chum Churum Soju,4,335.04,1340.16
202200014,2022-01-01,8:07,P002,Bibigo Gyoza Dumplings,5,213.62,1068.1
202200015,2022-01-01,9:58,P001,Samyang Hot Chicken Ramen,5,95.84,479.2
202200016,2022-01-01,21:28,P004,Ottogi Jin Ramen,1,141.22,141.22
202200017,2022-01-01,21:33,P002,Bibigo Gyoza Dumplings,5,360.65,1803.25
202200018,2022-01-01,15:15,P001,Samyang Hot Chicken Ramen,2,82.33,164.66
202200019,2022-01-01,17:57,P002,Bibigo Gyoza Dumplings,4,298.96,1195.84
202200020,2022-01-01,19:19,P004,Ottogi Jin Ramen,5,129.73,648.65
202200021,2022-01-01,8:47,P005,Binggrae Banana Milk,5,322.83,1614.15
202200022,2022-01-01,10:23,P001,Samyang Hot Chicken Ramen,4,277.22,1108.88
202200023,2022-01-01,14:10,P002,Bibigo Gyoza Dumplings,1,232.77,232.77
202200024,2022-01-01,12:33,P003,Chum Churum Soju,4,397.72,1590.88
202200025,2022-01-01,13:55,P003,Chum Churum Soju,2,63.23,126.46
202200026,2022-01-01,9:05,P001,Samyang Hot Chicken Ramen,3,343.35,1030.05
202200027,2022-01-01,17:33,P009,Gochujang Paste,1,274.55,274.55
202200028,2022-01-01,8:37,P005,Binggrae Banana Milk,2,194.91,389.82
202200029,2022-01-01,21:10,P002,Bibigo Gyoza Dumplings,1,388.23,388.23
202200030,2022-01-01,14:31,P001,Samyang Hot Chicken Ramen,1,331.55,331.55
202200031,2022-01-01,18:38,P006,Lotte Pepero Almond,2,265.18,530.36
202200032,2022-01-01,12:39,P010,Korean Kimchi 500g,1,357.62,357.62
202200033,2022-01-01,13:47,P007,CJ Cooked White Rice,1,380.39,380.39
202200034,2022-01-01,18:32,P005,Binggrae Banana Milk,4,104.48,417.92
202200035,2022-01-01,21:44,P003,Chum Churum Soju,1,196.42,196.42
202200036,2022-01-01,18:56,P004,Ottogi Jin Ramen,1,366.4,366.4
202200037,2022-01-01,20:32,P002,Bibigo Gyoza Dumplings,2,118.22,236.44
202200038,2022-01-01,12:57,P004,Ottogi Jin Ramen,3,168.8,506.4
202200039,2022-01-01,14:02,P007,CJ Cooked White Rice,3,102.32,306.96
202200040,2022-01-01,20:07,P010,Korean Kimchi 500g,3,302.28,906.84
202200041,2022-01-01,17:07,P001,Samyang Hot Chicken Ramen,3,198.06,594.18
202200042,2022-01-01,10:50,P009,Gochujang Paste,2,395.83,791.66
202200043,2022-01-01,20:21,P004,Ottogi Jin Ramen,5,128.38,641.9
202200044,2022-01-02,18:47,P009,Gochujang Paste,3,300.07,900.21
202200045,2022-01-02,19:55,P006,Lotte Pepero Almond,4,180.19,720.76
202200046,2022-01-02,16:33,P006,Lotte Pepero Almond,1,330.18,330.18
202200047,2022-01-02,12:10,P009,Gochujang Paste,5,233.13,1165.65
202200048,2022-01-02,21:02,P008,Maxim Coffee Mix,3,62.89,188.67
202200049,2022-01-02,16:36,P008,Maxim Coffee Mix,2,353.56,707.12
202200050,2022-01-02,11:30,P006,Lotte Pepero Almond,4,241.01,964.04
202200051,2022-01-02,16:49,P008,Maxim Coffee Mix,5,183.21,916.05
202200052,2022-01-02,18:27,P010,Korean Kimchi 500g,5,107.38,536.9
202200053,2022-01-02,8:06,P010,Korean Kimchi 500g,5,290.94,1454.7
202200054,2022-01-02,19:27,P006,Lotte Pepero Almond,3,144.02,432.06
202200055,2022-01-02,15:41,P010,Korean Kimchi 500g,5,271.43,1357.15
202200056,2022-01-02,18:31,P009,Gochujang Paste,2,212.05,424.1
202200057,2022-01-02,19:39,P002,Bibigo Gyoza Dumplings,2,133.48,266.96
202200058,2022-01-02,10:43,P007,CJ Cooked White Rice,1,115.06,115.06
202200059,2022-01-02,15:34,P007,CJ Cooked White Rice,5,129.46,647.3
202200060,2022-01-02,21:17,P005,Binggrae Banana Milk,1,316.16,316.16
202200061,2022-01-02,18:14,P008,Maxim Coffee Mix,4,123.19,492.76
202200062,2022-01-02,8:08,P003,Chum Churum Soju,5,191.75,958.75
202200063,2022-01-02,12:20,P001,Samyang Hot Chicken Ramen,4,120.57,482.28
202200064,2022-01-02,16:10,P004,Ottogi Jin Ramen,4,296.29,1185.16
202200065,2022-01-02,13:50,P010,Korean Kimchi 500g,2,138.27,276.54
202200066,2022-01-02,19:38,P005,Binggrae Banana Milk,1,360.4,360.4
202200067,2022-01-02,8:27,P003,Chum Churum Soju,4,112.72,450.88
202200068,2022-01-02,12:14,P009,Gochujang Paste,4,291.01,1164.04
202200069,2022-01-02,15:03,P010,Korean Kimchi 500g,1,94.7,94.7
202200070,2022-01-02,13:29,P003,Chum Churum Soju,1,136.57,136.57
202200071,2022-01-02,9:48,P008,Maxim Coffee Mix,2,197.26,394.52
202200072,2022-01-02,11:51,P008,Maxim Coffee Mix,5,253.78,1268.9
202200073,2022-01-02,14:59,P006,Lotte Pepero Almond,5,307.11,1535.55
202200074,2022-01-02,21:53,P006,Lotte Pepero Almond,1,395.72,395.72
202200075,2022-01-02,13:31,P005,Binggrae Banana Milk,3,378.56,1135.68
202200076,2022-01-02,11:45,P002,Bibigo Gyoza Dumplings,2,161.77,323.54
202200077,2022-01-02,18:19,P001,Samyang Hot Chicken Ramen,3,54.45,163.35
202200078,2022-01-02,20:52,P008,Maxim Coffee Mix,4,123.91,495.64
202200079,2022-01-02,17:06,P002,Bibigo Gyoza Dumplings,4,371.42,1485.68
202200080,2022-01-02,20:08,P001,Samyang Hot Chicken Ramen,2,240.23,480.46
202200081,2022-01-02,19:15,P009,Gochujang Paste,1,341.19,341.19
202200082,2022-01-02,19:06,P002,Bibigo Gyoza Dumplings,5,365.49,1827.45
202200083,2022-01-02,11:04,P005,Binggrae Banana Milk,2,351.78,703.56
202200084,2022-01-02,20:11,P005,Binggrae Banana Milk,2,271.22,542.44
202200085,2022-01-02,17:25,P004,Ottogi Jin Ramen,1,173.18,173.18
202200086,2022-01-02,16:29,P010,Korean Kimchi 500g,1,366.39,366.39
202200087,2022-01-02,11:08,P002,Bibigo Gyoza Dumplings,5,168.82,844.1
202200088,2022-01-03,19:20,P004,Ottogi Jin Ramen,3,179.64,538.92
202200089,2022-01-03,9:18,P003,Chum Churum Soju,2,64.56,129.12
202200090,2022-01-03,21:29,P007,CJ Cooked White Rice,5,121.24,606.2
202200091,2022-01-03,8:21,P005,Binggrae Banana Milk,3,167.42,502.26
202200092,2022-01-03,13:07,P007,CJ Cooked White Rice,5,298.01,1490.05
202200093,2022-01-03,20:42,P009,Gochujang Paste,3,174.58,523.74
202200094,2022-01-03,19:34,P007,CJ Cooked White Rice,3,380.33,1140.99
202200095,2022-01-03,15:50,P007,CJ Cooked White Rice,4,141.83,567.32
202200096,2022-01-03,17:27,P010,Korean Kimchi 500g,1,233.08,233.08
202200097,2022-01-03,12:04,P003,Chum Churum Soju,4,318.19,1272.76
202200098,2022-01-03,9:42,P007,CJ Cooked White Rice,4,367.92,1471.68
202200099,2022-01-03,9:25,P008,Maxim Coffee Mix,2,232.55,465.1
202200100,2022-01-03,19:00,P008,Maxim Coffee Mix,3,220.91,662.73
202200101,2022-01-03,19:21,P010,Korean Kimchi 500g,1,168.87,168.87
202200102,2022-01-03,13:12,P010,Korean Kimchi 500g,5,112.47,562.35
202200103,2022-01-03,10:39,P002,Bibigo Gyoza Dumplings,5,301.13,1505.65
202200104,2022-01-03,15:45,P005,Binggrae Banana Milk,3,54.16,162.48
202200105,2022-01-03,18:18,P004,Ottogi Jin Ramen,5,359.77,1798.85
202200106,2022-01-03,15:04,P007,CJ Cooked White Rice,5,63.93,319.65
202200107,2022-01-03,16:00,P006,Lotte Pepero Almond,2,103.85,207.7
202200108,2022-01-03,10:38,P004,Ottogi Jin Ramen,4,286.83,1147.32
202200109,2022-01-03,15:11,P010,Korean Kimchi 500g,5,381.03,1905.15
202200110,2022-01-03,12:08,P002,Bibigo Gyoza Dumplings,3,135.53,406.59
202200111,2022-01-03,12:25,P003,Chum Churum Soju,3,362.81,1088.43
202200112,2022-01-03,17:09,P005,Binggrae Banana Milk,4,248.25,993.0
202200113,2022-01-03,18:11,P006,Lotte Pepero Almond,2,323.33,646.66
202200114,2022-01-03,19:48,P009,Gochujang Paste,3,188.22,564.66
202200115,2022-01-03,13:52,P005,Binggrae Banana Milk,5,309.49,1547.45
202200116,2022-01-03,21:43,P004,Ottogi Jin Ramen,3,208.63,625.89
202200117,2022-01-03,12:41,P001,Samyang Hot Chicken Ramen,2,263.45,526.9
202200118,2022-01-03,13:49,P003,Chum Churum Soju,1,108.44,108.44
202200119,2022-01-03,17:06,P010,Korean Kimchi 500g,3,318.72,956.16
202200120,2022-01-03,13:45,P004,Ottogi Jin Ramen,2,203.64,407.28
